codigo;numeracion;denominacion;VENTA UNIDAD
968;5123408-4;FILTRO OMRON 3G3RV-PFI3070-SE-V1 (FC);1075
969;5123409-3;CONSOLA ESPECIAL ELEVACION(LEDS) ((Ref.:JVOP163);272
970;5123427-1;BARRERA FOTOELECTRICA MINIMAX (FC);657
971;5123430-1;PILA BOTONLITIO 3V,150MAH,20MM;1
972;5123434-1;BOTONERA INSPECCION MERCADO ESPA±OL MAN.RELES (FC);174
973;5123435-1;CONO LEGRAND REFERENCIA 919.11;1
974;5123436-1;PRENSAESTOPAS DE PLASTICO PG-13,5;1
975;5123437-1;BATERIA NIQUEL METAL HIDROGENO 9V (FC);32
976;5123444-1;SAI 500VA 230V AC 50/60HZ (FC);358
977;5123445-1;CHOKE SCHAFFNER SERIE RD 16A TIPO RD 7137-16-2M8;243
978;5123446-1;CHOKE SCHAFFNER SERIE RD 25A TIPO RD 7137-25-1M3;229
979;5123451-1;BARRERA FOTOELECTRICA (FC);693
980;5123454-1;SAI 650VA 230V AC 50/60HZ (FC);473
981;5123455-1;CONTROL BARRERA FOTOELEC CEDES;584
982;5123464-1;SOFT STARTER 902.06.U1210 380-400V AC 50Hz LINEA;1367
983;5123465-1;SOFT STARTER 902.06.U1220 380-400V AC 50Hz LINEA;1022
984;5123466-1;SOFT STARTER 40 KW 380VAC 50Hz (FC);1682
985;5123467-1;SOFT STARTER 55 KW 380VAC 50Hz (FC);3094
986;5123470-1;SOFT STARTER 44 KW 415VAC 50Hz (FC);2713
987;5123472-1;TELEFONO PORTERO AUTOMATICO (FC);39
988;5123484-1;"""""""CONJUNTO BOTON """"""""ALARM"""""""" EN TECHO CABINA""""""";54
989;5123492-1;SOPORTE NYLON RICHCO REFERENCIA LCBS-8-10-01;0
990;5123494-1;CLIP DE MONTAJE REFERENCIA BPF-F4410 BK RICHCO;0
991;5123495-1;SAI 1400VA 230V AC 50/60HZ (FC);1098
992;5123497-1;CAJA RELES BARRERA FOTOELECTRICA MINIMAX (FC);63
993;5123510-1;DESCARGADOR DE GAS 470V.(FC);5
994;5123511-1;DESCARGADOR DE GAS 1500V.(FC);6
995;5123512-1;REGULADOR CONT_TECH SP2401 5,5KW 380/460V+SM APP LITE;2341
996;5123513-1;REGULADOR CONT_TECH SP2402 7,5KW 380/460V+SM APP LITE;3162
997;5123513-2;REGUL. CONT_TECH SP2402 7,5KW 380/460V(FC);2168
998;5123514-1;REGULADOR CONT_TECH SP2403 11KW 380/460V+SM APP LITE;3070
999;5123514-2;REGUL. CONT_TECH SP2403 11KW 380/460V(FC);2911
1000;5123515-1;REGULADOR CONT_TECH SP3401 15KW 380/460V+SM APP LITE;7783
1001;5123515-2;REGUL. CONT_TECH SP3401 15KW 32A 380/460V(FC);3769
1002;5123516-1;REGULADOR CONT_TECH SP2404 13KW 380/460V+SM APP LITE;3594
1003;5123516-2;REGUL. CONT_TECH SP2404 15KW 380/460V(FC);3404
1004;5123517-1;TARJETA SMART-CARD PARA UNIDRIVE SP;64
1005;5123518-1;FILTRO CONTROL TECHNIQUES 21A 400V.(FC);481
1006;5123518-2;FILTRO CONTROL TECHNIQUES 32A 400V.(FC);464
1007;5123518-3;FILTRO CONTROL TECHNIQUES 27A 400V (FC);478
1008;5123519-1;FILTRO CONTROL TECHNIQUES 62A 400V.(FC);884
1009;5123520-1;FERRITA DE SALIDA CONTROL TECHNIQUES OC/2-S (FC);30
1010;5123521-1;FERRITA DE SALIDA CONTROL TECHNIQUES CH-3 (FC);83
1011;5123522-1;VENTILADOR RE.OMRON 5915PC-22T-B30-B00/FAN000131EX;657
1012;5123523-1;VENTILADOR REGULADOR OMRON MMF-06D24DS-RC7/FAN001047;541
1013;5123524-1;VENTILADOR REGUL. OMRON MMF- 06D24DS-R17;541
1014;5123525-1;VENTILADOR REGULADOR OMRON TMHS457CG-B01;520
1015;5123526-1;VENTILADOR REGULADOR OMRON MMF08D24ESRNF/FAN001011EX;541
1016;5123527-1;PIEZA ENCLAVAMIENTO MERLIN GERIN REFERENCIA 26970;41
1017;5123528-1;REPETIDOR IXXAT V3 CH64-44;1288
1018;5123529-1;CENTRAL PESAJE LM3D (CARRIL DIN) SAL.ANALOG 0-20 A;475
1019;5123531-1;FERRITA STEWARD REFERENCIA 28A2025-0A0;2
1020;5123532-1;SAI 650VA 230V AC 50/60HZ (FC);803
1021;5123533-1;BATERIA DE PLOMO ACIDO SELLADA 12V 32W (FC);129
1022;5123534-1;TELEFONO FREMAX CITY ref 20270;34
1023;5123537-1;TERMINAL CONTROL TECHNIQUES SM KEYPAD-PLUS;577
1024;5123538-1;BOTONERA INSPECCION MERCADO ESPAÑOL L=2,5 (FC);291
1025;5123538-2;BOTONERA INSPECCION MERCADO ESPAÑOL L=4 (FC);191
1026;5123541-1;BOTONERA DE FOSO MERCADO ESPAÑOL ARCA II (FC);192
1027;5123544-1;SEÑAL ADHESIVA PELIGRO DE MUERTE REF.AT491U200(FC);3
1028;5123549-1;CENTRAL SISTEMA PESAJE MICELECT LM3D 0-20 mA (FC);533
1029;5123550-1;CENTRAL SISTEMA PESAJE MICELECT LM3D 0-10 V (FC);238
1030;5123551-1;BATERIA DE PLOMO ACIDO SELLADA 12V 45W (FC);162
1031;5123555-1;FUENTE ALIMENTACION CONMUTADA 220V 30W-S8VS-03024 (FC);191
1032;5123559-1;REGULADOR CONT_TECH SP4401 30KW 380/460V+SM APP LITE;8396
1033;5123559-2;REGUL. CONT_TECH SP4401 30KW 380/460V(FC);8108
1034;5123560-1;REGULADOR CONT_TECH SP3403 22KW 380/460V+SM APP LITE;6469
1035;5123560-2;REGUL. CONT_TECH SP3403 22KW 380/460V(FC);6279
1036;5123561-1;REGULADOR CONT_TECH SP3403 22KW 380/460V+SM APP LITE;6404
1037;5123561-2;REGUL. CONT_TECH SP3403 22KW 380/460V(FC);6216
1038;5123569-1;FILTRO TRIFASICO 140A 400V CONTROL TECNIQUES (FC);1259
1039;5123570-1;"""""""CONJUNTO BOTON """"""""ALARM"""""""" EN TECHO CABINA""""""";73
1040;5123571-1;SAI 2200VA 230V AC 50/60HZ (FC);3641
1041;5123573-1;BOTONERA INSPECCION MERCADO SUIZO L=2,5 (FC);212
1042;5123573-2;BOTONERA INSPECCION MERCADO SUIZO L=4 (FC);212
1043;5123576-1;BOTONERA INSPECC. MEDIDAS COMPLEM.ESPAÑOL (FC);206
1044;5123582-1;REGUL. CONT_TECH SP1402 1,1KW 380/460V(FC);1700
1045;5123583-1;REGUL. CONT_TECH SP1404 2,2KW 380/460V(FC);1758
1046;5123585-1;LLAVE DE SEGURIDAD HASP (FC);653
1047;5123586-1;REGULADOR CONT_TECH SP4402 37KW 380/460V+SM APP LITE;11886
1048;5123586-2;REGUL. CONT_TECH SP4402 37KW 380/460V(FC);11690
1049;5123587-1;TARJETA CONT_TECH SM APPLICATIONS LITE PROG. ORONA;264
1050;5123588-1;ARMARIO CENTRAL HIDRAULICA 840X2000X400;1631
1051;5123588-2;ARMARIO CENTRAL HIDRAULICA 920X2000X550;1715
1052;5123588-3;ARMARIO CENTRAL HIDRAULICA 1000X2000X640;1768
1053;5123588-4;ARMARIO CENTRAL HIDRAULICA 960X2000X400;1681
1054;5123588-5;ARMARIO CENTRAL HIDRAULICA 960X2000X480;1709
1055;5123588-6;ARMARIO CENTRAL HIDRAULICA 1100X2000X570;1885
1056;5123588-7;ARMARIO CENTRAL HIDRAULICA 1100X2000X1100;0
1057;5123588-8;ARMARIO CENTRAL HIDRAULICA 840X2000X400;1701
1058;5123604-1;BOTONERA DE FOSO PARA MERCADO FRANCÉS (FC);91
1059;5123607-1;REGULADOR CONT_TECH SP1406 3,7KW 380/460V+SM APP LITE;1907
1060;5123607-2;REGUL. CONT_TECH SP1406 3,7KW 380/460V(FC);1907
1061;5123608-1;FILTRO TRIFÁSICO 16A 400V. CONTROL TECHNIQUES.(FC);308
1062;5123612-1;SINTESIS DE VOZ HISSELEKTRONIK VA03-SD(FC);584
1063;5123613-1;INDUCTANCIA 1,7KVA SIST. REGENERATIVO COMPACT(FC);1308
1064;5123614-1;INDUCTANCIA 4KVA SIST. REGENERATIVO COMPACT(FC);1930
1065;5123615-1;INDUCTANCIA 6,6KVA SIST. REGENERATIVO COMPACT(FC);2975
1066;5123616-1;CONJUNTO BARRERA FOTOELÉCTRICA 3,5 MTS(FC);375
1067;5123616-2;CONJUNTO BARRERA FOTOELÉCTRICA WECO 5M/94HACES(FC);552
1068;5123616-3;CONJUNTO BARRERA FOTOELÉCTRI.WECO 5M/154HACES (FC);1252
1069;5123620-1;BOTONERA DE FOSO EN MONTANTE PUERTA DERECHA RESTO;86
1070;5123623-1;CAJA DE RELÉS WECO (220V)(FC);122
1071;5123629-1;REGULADOR CONT_TECH SP1405 3KW 380/460V+SM APP LITE;1794
1072;5123647-1;POWER LINE DE-1789 / DLAN 200 AVPRO DINRAIL;842
1073;5123659-1;SAI 5000VA 230V AC 50/60HZ(FC);10041
1074;5123669-1;ACELEROMETRO ILUMINACION DE CABINA(FC);379
1075;5123669-2;RADAR DETECCION ILUMINACION CABINA AUTO.;336
1076;5123670-1;FILTRO TRIFÁSICO 10A 480/275VAC 50/60HZ(FC);156
1077;5123676-1;BUCLE INDUCTIVO PARA BOTONERA DE CABINA(FC);194
1078;5123685-1;COMBIFILTRO DEL CUADRO REGENERATIVO 29 A(FC);1286
1079;5123685-2;COMBIFILTRO DEL CUADRO REGENERATIVO 56 A(FC);1930
1080;5123685-3;COMBIFILTRO DEL CUADRO REGENERATIVO 83 A(FC);4023
1081;5123685-4;COMBIFILTRO DEL CUADRO REGENERATIVO 11 A(FC);909
1082;5123689-1;SAI 500VA 230 VAC 50/60 HZ  FC;312
1083;5123690-1;SAI 650VA 230VAC 50/60HZ (FC);351
1084;5123691-1;FUENTE ALIMENT. 220V CA - 12V CC 4,2A 50W(FC);208
1085;5123692-1;BOTONERA DE FOSO MERCADO SUIZO ARCA II (FC);114
1086;5123696-1;COMPACTFLASH CARD 2G(FC);206
1087;5123697-1;MEMORIA DDR2 533 SODIMM, 2G(FC);347
1088;5123699-1;DISTANCIADOR METALICO MECANIZADO 70mm CON TOPE;2
1089;5123704-1;SAI SALIDA SENOIDAL 750VA 230V AC CONECT.PASO 7,62;1587
1090;5123704-2;SAI SALIDA SENOIDAL 750VA 230V AC CONECT.PASO 5,08;1586
1091;5123705-1;SAI 1000VA 230V AC 50/60HZ(FC);1717
1092;5123711-1;MOTOR DISPOSITIVO EN 81-21 FOSO CORTO(FC);0
1093;5123715-1;BATERIA NI-CD 6V 1,6 AH TERMOSELLADA(FC);41
1094;5123720-1;SAI 5000VA 230V AC 50/60HZ(FC);8992
1095;5123726-3;SOFT STARTER C/TRI 380-400V 50HZ 50A (FC);1024
1096;5124001-1;PLACA CIRCUITO CONTROL DE VELOCIDAD;387
1097;5124002-1;PLACA CIRCUITO FLECHAS LED HORIZONTAL(6V-COMUN:0V);278
1098;5124003-1;PLACA CIRCUITO FLECHAS LED VERTICAL(6V-COMUN:0V);62
1099;5124004-1;PLACA CIRCUITO INDICADOR POSICION 7 SEGMENTOS HORIZONTAL(12V);247
1100;5124005-1;PLACA CIRCUITO INDICADOR POSICION 7 SEGMENTOS VERTICAL(12V);132
1101;5124006-1;PLACA CIRCUITO INDICADOR POSICION MATRIZ HORIZONTAL(12V);449
1102;5124007-1;PLACA CIRCUITO INDICADOR SOBRECARGA CON ZUMBADOR;28
1103;5124008-1;PLACA CIRCUITO FLECHAS LED EMBOCADURA(6V-COMUN:0V);202
1104;5124011-1;CIRCUITO IMPRESO PULSADOR REGL.1 LED 6-24V 1NA OR97;39
1105;5124013-1;CIRCUITO IMPRESO PILOTO REGL.1 LED 6-24V OR96;25
1106;5124014-1;CIRCUITO IMPRESO PULSADOR 6-24V 1NC OR96-MODERNIZACIONES;28
1107;5124017-1;CIRCUITO IMPRESO PULSADOR CONEC.NO LUM.6-24V 1NA OR96;9
1108;5124018-1;C.I. PULSADOR CONEC.1 LED 6-24V 1NA OR96;13
1109;5124019-1;CIRCUITO IMPRESO PULSADOR CONEC LED 6V;37
1110;5124022-1;PLACA CIRCUITO LUZ DE EMERGENCIA;56
1111;5124023-1;PLACA CIRCUITO DISTRIBUCION OTROS ELEMENTOS BOTONERA CABINA;76
1112;5124024-1;PLACA CIRCUITO DISTRIBUCION PULSADORES BOT.CABINA;52
1113;5124025-1;PLACA CIRCUITO FLECHAS LED HORIZONTAL(24V-COMUN:0V);57
1114;5124026-1;CIRCUITO IMPRESO PULSADOR REGL.6 LED 24V 1NA OR96;36
1115;5124027-1;CIRCUITO IMPRESO PULSADOR CONEC.6 LED 24V 1NA OR97;24
1116;5124028-1;PLACA CIRCUITO IND.POSICION LCD (12-24V);267
1117;5124029-1;CIRCUITO IMPRESO PILOTO CONEC.1 LED 6-24V OR96;18
1118;5124030-1;P.C.PLACA BASE MANIOBRA ARCA (VER:1);625
1119;5124032-1;PLACA CPU ARCA(VER:1) CON CONECTOR PARA EXT A/B;539
1120;5124033-1;PLACA CPU ARCA(VER:2) SIN CONECTOR PARA EXT A;448
1121;5124034-1;PLACA CIRCUITO PLACA EXTENSION A/B (VER:1);177
1122;5124042-1;PLACA CIRCUITO LUZ EMERGENCIA Y PICTOGRAMAS TELESERVICIO;45
1123;5124043-1;DISPLAY ANTIVAN MATRIZ PUNTOS DMG D65QNS00R.DO;1057
1124;5124052-1;PLACA CIRCUITO FALTA FASE + TERMISTOR;113
1125;5124053-1;P.C. CARGADOR DE BATERIA (V:220V);0
1126;5124054-1;PLACA CIRCUITO CARGADOR DE BATERIA (V:110V);66
1127;5124056-1;P.C.CONEXION CUADRO CABINA;107
1128;5124057-1;PLACA CIRCUITO CONEXION BOTONERA CABINA;57
1129;5124058-1;PLACA CIRCUITO APERTURA ANTICIPADA/ISONIVELACION PUERTA ABIERTA;875
1130;5124060-1;PLACA CIRCUITO CONEXION AUXILIAR BOTONERA CABINA;64
1131;5124061-2;CUBIERTA DE VENTILADOR DE ALUMINIO;58
1132;5124061-1;PLACA CIRCUITO CONTROL VENTILADOR E ILUMINACION AUXILIAR;116
1133;5124062-1;PLACA CIRCUITO BOTONERA DE PISO COMPARTIDA;101
1134;5124063-1;PLACA CIRCUITO SEÑALIZACION ZONA DE PUERTAS;101
1135;5124064-1;P. C. FUENTE ALIMENTACION 24V-0. 3AMP (V:220);63
1136;5124065-1;PLACA CIRCUITO ALIMENTACION FRENO Y ELECTROVALVULAS;47
1137;5124066-1;PLACA CIRCUITO SINTESIS DE VOZ;644
1138;5124070-1;PLACA CIRCUITO FLECHAS LED HORIZONTAL(24V-COMUN:24V);53
1139;5124071-1;PLACA CIRCUITO FLECHAS LED VERTICAL(24V-COMUN:24V);101
1140;5124072-1;PLACA CIRCUITO FLECHAS LED EMBOCADURA (24V-COMUN:24V);62
1141;5124073-1;PLACA CIRCUITO INDICADOR POSICION 7 SEGMENTOS HORIZONTAL(24V);105
1142;5124074-1;PLACA CIRCUITO IND.POSICION 7 SEGMENTOS VERTICAL(24V);123
1143;5124075-1;PLACA CIRCUITO INDICADOR MATRIZ HORIZONTAL(24V)(SIN MEMORIA);120
1144;5124076-1;PLACA CIRCUITO INTERFACE PULSADORES CABINA NO TDS;211
1145;5124078-1;PLACA CIRCUITO INTERFACE PULSADORES DE PISO NO TDS;226
1146;5124079-1;PLACA CIRCUITO FLECHAS LED HORIZONTAL ARCA II;49
1147;5124080-1;PLACA CIRCUITO GONG;293
1148;5124082-1;PLACA CIRCUITO MICRO ALTAVOZ TELESERVICIO;66
1149;5124084-1;C.I.PULSADOR LLAVE CONEC.1 LED 6-24V 1NA OR96;29
1150;5124086-1;C.I.INTERR.LLAVE CONEC.6-24V 2NA OR96;133
1151;5124087-1;PLACA CIRCUITO ALIMENTACION FRENO ASCENSOR M321;105
1152;5124088-1;PLACA CIRCUITO ZONA DE PUERTAS ASCENSOR M321;257
1153;5124089-1;PLACA CIRCUITO DISTRIBUCION CUADRO MANI.ARCA BASICO/M322;129
1154;5124090-1;PLACA CIRCUITO DISTRIBUCION CUADRO CABINA ARCA BASICO;174
1155;5124095-1;PLACA CIRCUITO AUXILIAR 8 RELES ILUM.AUT.ESCALERA;260
1156;5124097-1;PLACA CIRCUITO SINTESIS DE VOZ 2000;158
1157;5124098-1;PLACA CIRCUITO CITOFONO 2000;251
1158;5124099-1;PLACA CIRCUITO TELESERVICIO 2000 VERSION 2;299
1159;5124107-1;PLACA CIRCUITO SOBREEXCITACION FRENO M33;1044
1160;5124110-1;PLACA INDICADOR DE POSICION 7 SEGMENTOS 24 V AUTONOMO;194
1161;5124300-1;PLACA CIRCUITO INDICADOR CABINA 7 SEGMENTOS ARCA OR02;175
1162;5124301-1;PLACA CIRCUITO INDICADOR CABINA 7 SEGMENTOS ARCA II OR02;91
1163;5124302-1;PLACA CIRCUITO INDICADOR PISO 7 SEGMENTOS OR02;77
1164;5124302-2;INDICADOR DIGITAL PISO ARCA II 7 SEGMENT.BARNIZADO;85
1165;5124303-1;PLACA CIRCUITO INDICADOR CABINA MATRIZ DE PUNTOS ARCA OR02;222
1166;5124304-1;PLACA CIRCUITO INDICADOR CABINA MATRIZ DE PUNTOS ARCA II OR02;138
1167;5124305-1;PLACA CIRCUITO INDICADOR PISO MATRIZ DE PUNTOS OR02;115
1168;5124305-2;INDICADOR DIGITAL PISO ARCA II MATRIZ PUNT.BARNIZA;124
1169;5124309-1;PLACA CIRCUITO FLECHA DE EMBOCADURA OR02;88
1170;5124310-1;P.C.SEÑAL CABINA PRESENTE (VERDE) OR02;21
1171;5124311-1;P.C.SEÑAL ALARMA ó FUERA SERVICIO (ROJO) OR02;21
1172;5124312-1;P.C.LUZ EMERGENCIA Y LEY 13 OR02;88
1173;5124313-1;PLACA CIRCUITO SEÑALIZACION BOMBERO (UK) 24V;41
1174;5124314-1;PLACA CIRCUITO PULSADOR CON REGISTRADO OR02;11
1175;5124314-2;PULSADOR C/REGISTRADO BARNIZADO;11
1176;5124315-1;PLACA CIRCUITO PULSADOR SIN REGISTRADO OR02;9
1177;5124316-1;PLACA CIRCUITO PULSADOR LLAVE PISO CON REGISTRADO OR02;21
1178;5124317-1;PLACA CIRCUITO PULSADOR LLAVE CABINA CON REGISTRADO OR02;20
1179;5124318-1;PLACA CONTROL LCD MONOCROMO OR02;553
1180;5124321-1;PLACA CIRCUITO MICRO/ALTAVOZ TELESERVICIO ARCA II;55
1181;5124322-1;TELESERVICIO MODERNIZACIONES PLACA CIRCUITO PICTOGRAMAS;27
1182;5124323-2;MONITOR VDAP LCD-HITACHI-TX26D12VM0AAA-2 (FC);1018
1183;5124324-1;PLACA CIRCUITO I PULSADOR A LLAVE SCHAFER;35
1184;5124327-1;#7010231# BUCHER HAND TERMINAL;1064
1185;5124328-1;TARJETA CONTROLADOR C-DELCON DE BUCHER;1687
1186;5124328-2;#7010150# TARJETA CONTROLADOR DELTA -DELCON BUCHER;1494
1187;5124329-1;PLACA ALIMENTACION NTA-2 DE BUCHER;510
1188;5124334-2;PLACA EXT4 REPUESTOS MANIOBRA ARCA(FC);119
1189;5124338-1;PLACA CIRCUITO GONG/CAN ARCA II;185
1190;5124340-1;PLACA CIRCUITO PESACARGAS (PPQ);329
1191;5124343-1;PLACA CIRCUITO PLACA DE FRENO ECO-BRAKE PARA SASSI;828
1192;5124344-1;PLACA CIRCUITO GATEWAY ARCA II;445
1193;5124351-1;PLACA CIRCUITO PUENTEO DE SEGURIDADES ARCA II;404
1194;5124352-1;PLACA CIRCUITO DISTRIBUCION BOTONERA OR02 CIRC. IMPRESO (ARCA II);32
1195;5124355-1;PLACA CIRCUITO DE FRENO ARCA II;76
1196;5124356-1;PLACA CIRCUITO SOBREEXCITACION FRENO ARCA II;600
1197;5124357-1;PLACA CIRCUITO ADAPTACION TELESERVICIO ARCA II;100
1198;5124358-1;PLACA CIRCUITO INTERFACE BOTONERA MONTAJE ARCA II;99
1199;5124359-1;PLACA CIRCUITO MICROFONO-PULSADOR TELESERVICIO 2005;14
1200;5124365-1;PLACA CIRCUITO LUZ EMERGENCIA SIN PICTOGRAMAS;17
1201;5124366-1;PLACA CIRCUITO ELECTROVALVULAS ARCA II;348
1202;5124367-1;PLACA CIRCUITO INTERFACE PISO MONTACOCHES;71
1203;5124368-1;PLACA CIRCUITO BERINGER ARCA II;187
1204;5124370-1;PLACA PCB MODERNIZACIONES;138
1205;5124371-1;PLACA EXTENSION 2 MODERNIZACIONES;456
1206;5124372-1;PLACA ADAPTACION EN PISO;64
1207;5124373-1;PLACA ADAPTACION PULSADOR CABINA;98
1208;5124374-1;PLACA ADAPTACION RESTO CABINA;84
1209;5124375-1;PLACA CIRCUITO FRENO CUADRO MANIOBRA M33 OPTIMIZADO ARCA II;117
1210;5124378-1;PLACA CIRCUITO DE FRENO 60V DC ARCA II;158
1211;5124380-1;PLACA CIRCUITO PLACA LED LCD OR02;52
1212;5124381-1;PLACA CIRCUITO RESCATE M33 OPTIMIZADO;277
1213;5124382-1;PLACA CIRCUITO PLACA FRENO SOBREEXCITACION 2500 KG ARCA II;637
1214;5124383-1;PLACA CIRCUITO PLACA MEDIDAS COMPENSATORIAS EN 81-21;2606
1215;5124384-1;PLACA CIRCUITO PLACA DISTRIBUCION MEDIDAS COMPENSATOR.EN81-21;58
1216;5124385-1;PLACA CIRCUITO PLACA DE DISTRIBUCION CUADRO DE MANIOBRA V2;116
1217;5124386-1;PLACA INTERFACE MODERNIZACIONES VF RELES;612
1218;5124387-1;PLACA CIRCUITO CON CABINA SIN TELESERVICIO 110V;217
1219;5124388-1;PLACA CIRCUITO DISTRIBUCION CUADRO CABINA SIN TELESERVICIO 220V;230
1220;5124389-1;PLACA CIRCUITO DIST. C. CABINA CON TELESERVICIO 110V;223
1221;5124390-1;PLACA CIRCUITO DISTRIBUCION CUADRO CABINA CON TELESERVICIO 220V;178
1222;5124391-1;PLACA CIRCUITO TELESERVICIO-SINTESIS VOZ ESP-ENG ARCA II;599
1223;5124392-1;PLACA CIRCUITO TELESERVICIO-SINTESIS VOZ POR-FRA ARCA II;595
1224;5124393-1;PLACA CIRCUITO TELESERVICIO-SINTESIS VOZ EUS-CAT ARCA II;596
1225;5124394-1;PLACA CIRCUITO TELESERVICIO-SINTESIS VOZ SIMPLIF.ESP-ENG ARCA II;497
1226;5124395-1;PLACA CIRCUITO TELESERVICIO.-SINTESIS VOZ SIMPLIF.POR-FRA ARCA II;515
1227;5124396-1;PLACA CIRCUITO TELESERV.-SINTESIS VOZ SIMPLIF.EUS-CAT ARCA II;535
1228;5124400-1;PLACA CIRCUITO CITO-GONG ARCA II;188
1229;5124407-1;PLACA CIRCUITO PANTALLA LCD MONOCROMO RETROILUMINADO LED (FC;481
1230;5124408-1;PLACA CIRCUITO PLACA PESACARGAS 8 bit.;296
1231;5124409-1;PLACA CIRCUITO PLACA CPU ARCA II;294
1232;5124410-1;PLACA CIRCUITO PLACA DISTRIBUCION MEDIDAS COMPENSATORIAS;116
1233;5124411-1;PLACA CIRCUITO PLACA CITOFONO BOMBEROS;261
1234;5124414-1;P.C.PLACA ANEXO FLECHAS SENTIDO DE MARCHA;248
1235;5124416-1;PLACA CIRCUITO DISTRIBUCION CUADRO DE MANIOBRA M34;185
1236;5124418-1;"""""""PC SIETE SEGMENT.AUTON.CAB """"""""NO ARCA"""""""" MODERNIZACION""""""";198
1237;5124419-1;"""""""PC MATRIZ PUNTOS AUTON.CAB """"""""NO ARCA"""""""" MODERNIZACION""""""";96
1238;5124420-1;"""""""PC SIETE SEGMENT. AUTON.PISO """"""""NO ARCA"""""""" MODERNIZACI""""""";155
1239;5124422-1;PCI FLECHA EMBOCADURA CATODO COMUN;74
1240;5124423-1;PLACA CIRCUITO PLACA BASE ARCA II+;520
1241;5124427-1;PLACA CIRCUITO Placa PPIM ARCA;170
1242;5124428-1;"""""""PLACA CONTROL """"""""HITACHI""""""""""""""";778
1243;5124430-1;PLACA EXTENSION 1 ARCA III **5124530-1;69
1244;5124431-1;PLACA CONTROL HITACHI-V2 VDAP;1655
1245;5124432-1;PLACA EXTENSION 2 ARCA III **5124532 - 1;84
1246;5124433-1;PLACA EXTENSION 3 ARCA III **5124533-1;105
1247;5124434-1;PLACA EXTENSION 4 ARCA III ** 5124534-1;70
1248;5124435-1;PLACA EXTENSION 5 ARCA III ** 5124535-1;137
1249;5124436-1;PLACA CIRCUITO PLACA DE FRENO;231
1250;5124437-1;PLACA CIRCUITO PLACA ALFOMBRA SEGURIDAD TECHO CORTO;369
1251;5124438-1;PLACA CIRCUITO PLACA DISTRIBUCION CUADRO MANIOBRA;200
1252;5124439-1;PLACA CIRCUITO PLACA ALFOMBRA SEGURIDAD TECHO CORTO;815
1253;5124440-1;PLACA CIRCUITO PCB LCD MATRICIAL(FC);282
1254;5124443-1;PLACA ELECTROVALVULAS PBUC-A3;204
1255;5124454-1;PCB LUZ DE EMERGENCIA (6V) ARCAII 4TH GEN;57
1256;5124454-2;PCB LUZ DE EMERGENCIA (24V) ARCAIII 4TH GEN;0
1257;5124455-1;PLACA CIRCUITO MEDIDAS COMPLEMENTARIAS M33 TECHO CORTO V3;1196
1258;5124456-1;PLACA CIRCUITO IMPRESO CONTROL VENTILACIÓN E ILUMINACIÓN ARCA II (cont. NC);80
1259;5124500-1;#70205360#CONSOLA DE PROGRAMACIÓN NGV#GMV;802
1260;5124510-1;"""""""CONJUNTO SE¿ALIZACION TFT 5"""""""" 4TH GEN""""""";864
1261;5124521-1;PCB IND POS 7 SEG CABINA ARCAII 4TH GEN;88
1262;5124521-2;PCB IND POS 7 SEG PISO 4TH GEN;70
1263;5124522-1;PCB IND POS MATRIZ PUNTOS DE CABINA ARCAII 4TH GEN;131
1264;5124522-2;PCB IND POS MATRIZ PUNTOS DE PISO ARCAII 4TH GEN;106
1265;5124020-1;C.I.PULS.LL(801) CONEC.1 LED 6-24V 1NA OR96  ** 5124086- 1;132
1266;5124523-1;PCB FLECHA DE EMBOCADURA 4TH GEN;33
1267;5124012-1;CIRCUITO IMPRESO PULSADOR REGL.6 LED 6V 1NA OR96 ** 5124019 - 1;37
1268;5124036-1;P.C.EXTENSION 1 (VER:1) **5124530 - 1;69
1269;5124530-1;PLACA EXTENSION 1 ARCA III RETROCOMPATIBLE;69
1270;5124038-1;PLACA CIRCUITO CONEXION EXTENSION 2 **5124532 - 1;84
1271;5124532-1;PLACA CIRCUITO EXTENSION 2 ARCA III;84
1272;5124039-1;PLACA CIRCUITO CIRCUITO EXTENSION 3 ** 5124533-1;105
1273;5124533-1;PLACA CIRCUITO EXTENSION 3 ARCA III;105
1274;5124040-1;PLACA CIRCUITO CIRCUITO EXTENSION 4 ** 5124534-1;70
1275;5124041-1;PLACA CIRCUITO EXTENSION 5 ** 5124535-1;137
1276;5124535-1;PLACA CIRCUITO EXTENSION 5 ARCA III;137
1277;5124093-1;PLACA CIRCUITO POSICION.INTERRUP.MAGNETICOS CUADRO CABINA M322 **5124427-1;170
1278;5124096-1;PLACA CIRCUITO TELESERVICIO 2000  **8460261-1;763
1279;5124106-1;PLACA CIRCUITO RESCATE M33 **5124381-1;277
1280;5124306-1;PLACA CIRCUITO FLECHAS DE CABINA OR02 **8140456-1;47
1281;5124307-1;PLACA CIRCUITO FLECHAS DE PISO ARCA OR02 ** 8322305-1;53
1282;8322305-1;CONJUNTO P.C. FLECHAS DE PISO ARCA;53
1283;5124308-1;PLACA CIRCUITO FLECHAS DE PISO ARCA II OR02 **8322306 - 1;64
1284;5124308-2;FLECHAS PISO BARNIZADA **8322306 - 2;71
1285;5124319-1;"""MONOCROMO """"HITACHI"""" (FH) SEÑALIZACION LCD CABINA OR02 **5124407-1""";481
